id,exam,year,session,shift,paper,questionNumber,questionId,sourceFile,sourcePage,unit,topic,subtopic,secondaryUnit,question,options,correctOption,correctAnswer,answerStatus,officialAnswer,solutionSteps,concept,formulaOrRule,shortcut,commonTrap,optionAnalysis,canonicalExplanation,reviewNote,sourceAnchor
UGCNET-CS-2023-june-2023-Q85,UGC NET Computer Science and Applications,2023,June 2023,,Paper II,85,,sources/ugc-net-cs-2023-june-paper-2.pdf,46,Unit 1: Discrete Structures and Optimization,Group Theory,Automorphisms of the integers,,"How many automorphisms does the additive group (Z,+) have?","[{""number"": 1, ""text"": ""1""}, {""number"": 2, ""text"": ""2""}, {""number"": 3, ""text"": ""Countably infinite""}, {""number"": 4, ""text"": ""Uncountably infinite""}]",2,2,independently-verified,,"[""A homomorphism is determined by f(1)=k and has f(n)=kn."", ""It is bijective only for k=1 or k=−1."", ""Hence there are two automorphisms.""]","A group has closure, associativity, an identity and inverses; an abelian group also commutes. Homomorphisms preserve the operation, automorphisms are isomorphisms from a structure to itself, and fields are commutative integral domains in which every nonzero element is invertible.","For finite G and H≤G, |H| divides |G| (Lagrange). Every finite integral domain is a field.","To refute an ideal claim, multiply a typical element on the left and right by a completely general ring element.",A numerical divisibility fact does not establish that one group is a subgroup of another.,"[{""number"": 1, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (2); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 2, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: 2.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (2); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (2); the decisive computation or defining property is shown in the solution steps.""}]",UGCNET-CS-2023-june-2023-Q85,,../sources/ugc-net-cs-2023-june-paper-2.pdf#page=46
UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q1,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 15 Shift 1,,Paper II,1,,sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf,40,Unit 1: Discrete Structures and Optimization,Mathematical Logic,Propositional equivalence,,Which is not logically equivalent to P→Q?,"[{""number"": 1, ""text"": ""¬P∨Q""}, {""number"": 2, ""text"": ""¬Q→¬P""}, {""number"": 3, ""text"": ""¬(P∧¬Q)""}, {""number"": 4, ""text"": ""¬Q→P""}]",4,¬Q→P,independently-verified,,"[""P→Q is ¬P∨Q and equals its contrapositive ¬Q→¬P."", ""Negating the sole falsifying case gives ¬(P∧¬Q)."", ""¬Q→P is Q∨P, which differs; take P=false,Q=true.""]","Replace implication by ¬p ∨ q, push negations through quantifiers, and test validity by searching for a counterexample. A tautology is true under every valuation; an argument is valid when the conjunction of its premises implies its conclusion.",p→q ≡ ¬p∨q; ¬∀x P(x) ≡ ∃x ¬P(x); ¬∃x P(x) ≡ ∀x ¬P(x).,"For a proposed tautology, first try to make the consequent false and see whether the antecedent can still be true.","The converse q→p is not the contrapositive ¬q→¬p, and quantifier order generally cannot be swapped.","[{""number"": 1, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (¬Q→P); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 2, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (¬Q→P); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (¬Q→P); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: ¬Q→P.""}]",UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q1,,../sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf#page=40
UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q2,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 15 Shift 1,,Paper II,2,,sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf,41,Unit 1: Discrete Structures and Optimization,"Counting, Mathematical Induction and Discrete Probability",Inclusion-exclusion and onto functions,,"Seven distinct people leave a lift at three ordered stops, with at least one person at every stop. How many assignments are possible?","[{""number"": 1, ""text"": ""2187""}, {""number"": 2, ""text"": ""1932""}, {""number"": 3, ""text"": ""1806""}, {""number"": 4, ""text"": ""1260""}]",3,1806,independently-verified,,"[""Count onto functions from 7 people to 3 stops."", ""3⁷−C(3,1)2⁷+C(3,2)1⁷=2187−384+3=1806.""]","Counting problems reduce to product/sum rules, stars-and-bars, inclusion–exclusion, permutations or combinations. Probability is favourable equally likely outcomes divided by all outcomes; conditional probability changes the sample space, and Bayes reverses a condition.",nPr=n!/(n−r)!; nCr=n!/[r!(n−r)!]; P(A|B)=P(A∩B)/P(B); P(A|B)=P(B|A)P(A)/P(B).,Decide first whether order matters and whether replacement is allowed; that usually eliminates most options immediately.,"Pairwise intersections are added back only after being subtracted, and a three-way intersection is then added once.","[{""number"": 1, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (1806); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 2, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (1806); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 3, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: 1806.""}, {""number"": 4, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (1806); the decisive computation or defining property is shown in the solution steps.""}]",UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q2,,../sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf#page=41
UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q4,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 15 Shift 1,,Paper II,4,,sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf,41,Unit 1: Discrete Structures and Optimization,"Counting, Mathematical Induction and Discrete Probability",Pigeonhole principle,,Students receive one of seven grades. What minimum class size guarantees at least six students with the same grade?,"[{""number"": 1, ""text"": ""35""}, {""number"": 2, ""text"": ""42""}, {""number"": 3, ""text"": ""36""}, {""number"": 4, ""text"": ""43""}]",3,36,independently-verified,,"[""To avoid six in any grade, place at most five in each of seven boxes: 7·5=35."", ""One more student forces a box to contain six, so the minimum is 36.""]","Counting problems reduce to product/sum rules, stars-and-bars, inclusion–exclusion, permutations or combinations. Probability is favourable equally likely outcomes divided by all outcomes; conditional probability changes the sample space, and Bayes reverses a condition.",nPr=n!/(n−r)!; nCr=n!/[r!(n−r)!]; P(A|B)=P(A∩B)/P(B); P(A|B)=P(B|A)P(A)/P(B).,Decide first whether order matters and whether replacement is allowed; that usually eliminates most options immediately.,"Pairwise intersections are added back only after being subtracted, and a three-way intersection is then added once.","[{""number"": 1, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (36); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 2, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (36); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 3, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: 36.""}, {""number"": 4, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (36); the decisive computation or defining property is shown in the solution steps.""}]",UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q4,,../sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf#page=41
UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q6,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 15 Shift 1,,Paper II,6,,sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf,42,Unit 1: Discrete Structures and Optimization,Boolean Algebra,Karnaugh-map simplification,,"Simplify F(A,B,C,D)=Σ(3,4,5,6,7,11,15).","[{""number"": 1, ""text"": ""AB+C'D""}, {""number"": 2, ""text"": ""A'B+CD""}, {""number"": 3, ""text"": ""AC+BD""}, {""number"": 4, ""text"": ""A'B+B'C""}]",2,A'B+CD,independently-verified,,"[""Minterms 4,5,6,7 form the implicant A'B."", ""Minterms 3,7,11,15 form CD."", ""Together they cover exactly the specified set, so F=A'B+CD.""]","Boolean functions can be represented by truth tables, minterms/maxterms, SOP/POS forms and Karnaugh maps. Simplification uses identity, domination, idempotent, complement, absorption, distributive and De Morgan laws.",x+x=x; x·x=x; x+xy=x; x(x+y)=x; (x+y)'=x'y'; (xy)'=x'+y'.,"For four-option identities, test 0/1 assignments; a single counterexample removes an option.",A simplified SOP need not be a canonical (complete) SOP; canonical terms contain every variable.,"[{""number"": 1, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (A'B+CD); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 2, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: A'B+CD.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (A'B+CD); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (A'B+CD); the decisive computation or defining property is shown in the solution steps.""}]",UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q6,,../sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf#page=42
UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q41,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 15 Shift 1,,Paper II,41,,sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf,53,Unit 1: Discrete Structures and Optimization,Group Theory,Group properties,,Which group statements are correct? A every group has a zero element; B the only idempotent is identity; C an isomorphism G→G is an automorphism; D if every element is self-inverse then G is abelian.,"[{""number"": 1, ""text"": ""B,C,D only""}, {""number"": 2, ""text"": ""A,B,C""}, {""number"": 3, ""text"": ""A,C,D""}, {""number"": 4, ""text"": ""B,D only""}]",1,"B,C,D only",independently-verified,,"[""A is false: groups require an identity, not a separate zero."", ""If x²=x, cancellation gives x=e, so B is true; C is the definition of automorphism."", ""If x=x⁻¹, then xy=(xy)⁻¹=y⁻¹x⁻¹=yx, so D is true.""]","A group has closure, associativity, an identity and inverses; an abelian group also commutes. Homomorphisms preserve the operation, automorphisms are isomorphisms from a structure to itself, and fields are commutative integral domains in which every nonzero element is invertible.","For finite G and H≤G, |H| divides |G| (Lagrange). Every finite integral domain is a field.","To refute an ideal claim, multiply a typical element on the left and right by a completely general ring element.",A numerical divisibility fact does not establish that one group is a subgroup of another.,"[{""number"": 1, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: B,C,D only.""}, {""number"": 2, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (B,C,D only); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (B,C,D only); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (B,C,D only); the decisive computation or defining property is shown in the solution steps.""}]",UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q41,,../sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf#page=53
UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q43,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 15 Shift 1,,Paper II,43,,sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf,54,Unit 1: Discrete Structures and Optimization,Sets and Relations,Relation properties,,"For R={(1,3),(1,1),(3,1),(1,2),(3,3),(4,4)} on {1,2,3,4}, which classification is correct?","[{""number"": 1, ""text"": ""Reflexive and symmetric""}, {""number"": 2, ""text"": ""Symmetric and transitive""}, {""number"": 3, ""text"": ""Reflexive only""}, {""number"": 4, ""text"": ""Neither reflexive, symmetric nor transitive""}]",4,"Neither reflexive, symmetric nor transitive",independently-verified,,"[""(2,2) is absent, so R is not reflexive. (1,2) is present but (2,1) absent, so not symmetric."", ""(3,1) and (1,2) occur but (3,2) does not, so it is not transitive.""]","A relation is reflexive when every diagonal pair occurs, symmetric when reversal preserves membership, antisymmetric when mutual relatedness forces equality, and transitive when two composable pairs force the third. A partial order is reflexive, antisymmetric and transitive. Floor and ceiling functions map a real number to its neighbouring integers and are handled by separating integer and fractional parts.","|P(A)|=2^|A|; |A∪B|=|A|+|B|−|A∩B|; x=⌊x⌋+{x}, where 0≤{x}<1.","Disprove a relation property with one witness: a missing diagonal, an unreturned pair, a distinct two-way pair, or a missing composite pair.","Symmetric and antisymmetric are not opposites; a relation can be both (for example, equality) or neither.","[{""number"": 1, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (Neither reflexive, symmetric nor transitive); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 2, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (Neither reflexive, symmetric nor transitive); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (Neither reflexive, symmetric nor transitive); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: Neither reflexive, symmetric nor transitive.""}]",UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q43,,../sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf#page=54
UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q66,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 15 Shift 1,,Paper II,66,,sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf,66,Unit 1: Discrete Structures and Optimization,Optimization,Method classification,Unit 7: Data Structures and Algorithms,"Match linear programming, predicate logic, tree traversal and minimum spanning tree with Simplex, first-order logic, inorder and Prim.","[{""number"": 1, ""text"": ""A-I,B-II,C-III,D-IV""}, {""number"": 2, ""text"": ""A-III,B-IV,C-II,D-I""}, {""number"": 3, ""text"": ""A-IV,B-III,C-I,D-II""}, {""number"": 4, ""text"": ""A-II,B-I,C-IV,D-III""}]",2,"A-III,B-IV,C-II,D-I",independently-verified,,"[""LP→Simplex (III), predicate logic→first-order logic (IV), traversal→inorder (II), MST→Prim (I)."", ""This gives A-III,B-IV,C-II,D-I.""]",Linear-programming optima occur at feasible extreme points. A basic feasible solution is degenerate when a basic variable is zero. Transportation BFSs normally have m+n−1 independent positive allocations; PERT uses probabilistic activity times while CPM is deterministic.,PERT te=(to+4tm+tp)/6; variance=[(tp−to)/6]^2; tree/project critical path is the longest-duration path.,"For a two-variable LP, list feasible intersections and evaluate the objective instead of running simplex.","The critical path is longest in duration, not the path with the most activities; degeneracy is about basic variables/independent allocations.","[{""number"": 1, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (A-III,B-IV,C-II,D-I); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 2, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: A-III,B-IV,C-II,D-I.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (A-III,B-IV,C-II,D-I); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (A-III,B-IV,C-II,D-I); the decisive computation or defining property is shown in the solution steps.""}]",UGCNET-CS-2023-dec-2022-mar-15-shift-1-Q66,,../sources/ugc-net-cs-2023-mar-15-shift-1-dec-2022-session-combined.pdf#page=66
UGCNET-CS-2023-dec-2022-mar-11-shift-2-Q1,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 11 Shift 2,,Paper II,1,,sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf,32,Unit 1: Discrete Structures and Optimization,Mathematical Logic,Negating quantified statements,,What is the negation of 'Some students like hockey'?,"[{""number"": 1, ""text"": ""Some students dislike hockey""}, {""number"": 2, ""text"": ""Every student dislikes hockey""}, {""number"": 3, ""text"": ""No student dislikes hockey""}, {""number"": 4, ""text"": ""Every student likes hockey""}]",2,Every student dislikes hockey,independently-verified,,"[""The statement is ∃x(Student(x)∧LikesHockey(x))."", ""Its negation is ∀x(Student(x)→¬LikesHockey(x)): every student does not like hockey.""]","Replace implication by ¬p ∨ q, push negations through quantifiers, and test validity by searching for a counterexample. A tautology is true under every valuation; an argument is valid when the conjunction of its premises implies its conclusion.",p→q ≡ ¬p∨q; ¬∀x P(x) ≡ ∃x ¬P(x); ¬∃x P(x) ≡ ∀x ¬P(x).,"For a proposed tautology, first try to make the consequent false and see whether the antecedent can still be true.","The converse q→p is not the contrapositive ¬q→¬p, and quantifier order generally cannot be swapped.","[{""number"": 1, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (Every student dislikes hockey); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 2, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: Every student dislikes hockey.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (Every student dislikes hockey); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (Every student dislikes hockey); the decisive computation or defining property is shown in the solution steps.""}]",UGCNET-CS-2018-july-2018-Q85,,../sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf#page=32
UGCNET-CS-2023-dec-2022-mar-11-shift-2-Q2,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 11 Shift 2,,Paper II,2,,sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf,32,Unit 1: Discrete Structures and Optimization,Sets and Relations,Strict partial orders,,"On integer pairs define (x,y)R(u,v) iff x<u and y>v. Which classification applies under the paper's reflexive definition of partial order?","[{""number"": 1, ""text"": ""Neither partial order nor equivalence relation""}, {""number"": 2, ""text"": ""Partial but not total order""}, {""number"": 3, ""text"": ""Total order""}, {""number"": 4, ""text"": ""Equivalence relation""}]",1,Neither partial order nor equivalence relation,independently-verified,,"[""R is irreflexive because x<x is false; hence it is not a (reflexive) partial order and not an equivalence relation."", ""It is a strict partial order in terminology that uses irreflexive+transitive; the options use the non-strict convention.""]","A relation is reflexive when every diagonal pair occurs, symmetric when reversal preserves membership, antisymmetric when mutual relatedness forces equality, and transitive when two composable pairs force the third. A partial order is reflexive, antisymmetric and transitive. Floor and ceiling functions map a real number to its neighbouring integers and are handled by separating integer and fractional parts.","|P(A)|=2^|A|; |A∪B|=|A|+|B|−|A∩B|; x=⌊x⌋+{x}, where 0≤{x}<1.","Disprove a relation property with one witness: a missing diagonal, an unreturned pair, a distinct two-way pair, or a missing composite pair.","Symmetric and antisymmetric are not opposites; a relation can be both (for example, equality) or neither.","[{""number"": 1, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: Neither partial order nor equivalence relation.""}, {""number"": 2, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (Neither partial order nor equivalence relation); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (Neither partial order nor equivalence relation); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (Neither partial order nor equivalence relation); the decisive computation or defining property is shown in the solution steps.""}]",UGCNET-CS-2023-dec-2022-mar-11-shift-2-Q2,"Terminology-sensitive: R is a strict partial order, but not a reflexive partial order.",../sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf#page=32
UGCNET-CS-2023-dec-2022-mar-11-shift-2-Q4,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 11 Shift 2,,Paper II,4,,sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf,33,Unit 1: Discrete Structures and Optimization,Mathematical Logic,Boolean conditions,,"A nested conditional returns true for (x>25,y>100), false; (x≤25,y≤100), true; (x>25,y≤100), false; otherwise true. When is the overall result true?","[{""number"": 1, ""text"": ""iff y≤100""}, {""number"": 2, ""text"": ""iff x≤25""}, {""number"": 3, ""text"": ""iff x>25""}, {""number"": 4, ""text"": ""iff y>100""}]",2,iff x≤25,independently-verified,,"[""The four branches partition all possibilities."", ""Both branches with x>25 are false and both with x≤25 are true, independent of y."", ""Therefore the result is true iff x≤25.""]","Replace implication by ¬p ∨ q, push negations through quantifiers, and test validity by searching for a counterexample. A tautology is true under every valuation; an argument is valid when the conjunction of its premises implies its conclusion.",p→q ≡ ¬p∨q; ¬∀x P(x) ≡ ∃x ¬P(x); ¬∃x P(x) ≡ ∀x ¬P(x).,"For a proposed tautology, first try to make the consequent false and see whether the antecedent can still be true.","The converse q→p is not the contrapositive ¬q→¬p, and quantifier order generally cannot be swapped.","[{""number"": 1, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (iff x≤25); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 2, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: iff x≤25.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (iff x≤25); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (iff x≤25); the decisive computation or defining property is shown in the solution steps.""}]",UGCNET-CS-2023-dec-2022-mar-11-shift-2-Q4,,../sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf#page=33
UGCNET-CS-2023-dec-2022-mar-11-shift-2-Q7,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 11 Shift 2,,Paper II,7,,sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf,34,Unit 1: Discrete Structures and Optimization,Boolean Algebra,Karnaugh-map simplification,,"Simplify F=Σ(0,2,5,7,8,10,13,15).","[{""number"": 1, ""text"": ""BD+B'D'""}, {""number"": 2, ""text"": ""B'D+BD'""}, {""number"": 3, ""text"": ""A'C'+AC""}, {""number"": 4, ""text"": ""C'D+CD'""}]",1,BD+B'D',independently-verified,,"[""The minterms are precisely those for which B and D are equal; A and C vary freely."", ""Thus F=BD+B'D', the XNOR of B and D.""]","Boolean functions can be represented by truth tables, minterms/maxterms, SOP/POS forms and Karnaugh maps. Simplification uses identity, domination, idempotent, complement, absorption, distributive and De Morgan laws.",x+x=x; x·x=x; x+xy=x; x(x+y)=x; (x+y)'=x'y'; (xy)'=x'+y'.,"For four-option identities, test 0/1 assignments; a single counterexample removes an option.",A simplified SOP need not be a canonical (complete) SOP; canonical terms contain every variable.,"[{""number"": 1, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: BD+B'D'.""}, {""number"": 2, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (BD+B'D'); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (BD+B'D'); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (BD+B'D'); the decisive computation or defining property is shown in the solution steps.""}]",UGCNET-CS-2023-dec-2022-mar-11-shift-2-Q7,,../sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf#page=34
UGCNET-CS-2023-dec-2022-mar-11-shift-2-Q42,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 11 Shift 2,,Paper II,42,,sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf,44,Unit 1: Discrete Structures and Optimization,Boolean Algebra,Structure of Boolean algebras,,Assess: A a Boolean algebra can have five elements; B complements are unique; C a Boolean-algebra lattice is not relatively complemented; D a product of Boolean algebras is Boolean.,"[{""number"": 1, ""text"": ""A,C""}, {""number"": 2, ""text"": ""B,D""}, {""number"": 3, ""text"": ""A,B,D""}, {""number"": 4, ""text"": ""B,C,D""}]",2,"B,D",independently-verified,,"[""Finite Boolean algebras have 2^n elements, so A is false. Complements are unique, so B true."", ""Boolean algebras are complemented (indeed relatively complemented), so C false; products preserve Boolean operations, so D true.""]","Boolean functions can be represented by truth tables, minterms/maxterms, SOP/POS forms and Karnaugh maps. Simplification uses identity, domination, idempotent, complement, absorption, distributive and De Morgan laws.",x+x=x; x·x=x; x+xy=x; x(x+y)=x; (x+y)'=x'y'; (xy)'=x'+y'.,"For four-option identities, test 0/1 assignments; a single counterexample removes an option.",A simplified SOP need not be a canonical (complete) SOP; canonical terms contain every variable.,"[{""number"": 1, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (B,D); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 2, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: B,D.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (B,D); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (B,D); the decisive computation or defining property is shown in the solution steps.""}]",UGCNET-CS-2023-dec-2022-mar-11-shift-2-Q42,,../sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf#page=44
UGCNET-CS-2023-dec-2022-mar-11-shift-2-Q66,UGC NET Computer Science and Applications,2023,Dec 2022 Mar 11 Shift 2,,Paper II,66,,sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf,54,Unit 1: Discrete Structures and Optimization,Optimization,PERT-CPM and graph colouring,,"Match planar graph, bipartite graph, PERT and CPM with 4-colourable, 2-colourable, probabilistic and deterministic.","[{""number"": 1, ""text"": ""A-I,B-II,C-III,D-IV""}, {""number"": 2, ""text"": ""A-II,B-III,C-IV,D-I""}, {""number"": 3, ""text"": ""A-IV,B-I,C-II,D-III""}, {""number"": 4, ""text"": ""A-III,B-IV,C-I,D-II""}]",4,"A-III,B-IV,C-I,D-II",independently-verified,,"[""Every planar graph is 4-colourable; a bipartite graph is 2-colourable."", ""PERT is probabilistic and CPM deterministic."", ""So A-III,B-IV,C-I,D-II.""]",Linear-programming optima occur at feasible extreme points. A basic feasible solution is degenerate when a basic variable is zero. Transportation BFSs normally have m+n−1 independent positive allocations; PERT uses probabilistic activity times while CPM is deterministic.,PERT te=(to+4tm+tp)/6; variance=[(tp−to)/6]^2; tree/project critical path is the longest-duration path.,"For a two-variable LP, list feasible intersections and evaluate the objective instead of running simplex.","The critical path is longest in duration, not the path with the most activities; degeneracy is about basic variables/independent allocations.","[{""number"": 1, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (A-III,B-IV,C-I,D-II); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 2, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (A-III,B-IV,C-I,D-II); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 3, ""verdict"": ""not the correct option"", ""explanation"": ""This does not match the independently derived result (A-III,B-IV,C-I,D-II); the decisive computation or defining property is shown in the solution steps.""}, {""number"": 4, ""verdict"": ""correct option"", ""explanation"": ""This matches the independently derived result: A-III,B-IV,C-I,D-II.""}]",UGCNET-CS-2023-dec-2022-mar-11-shift-2-Q66,,../sources/ugc-net-cs-2023-mar-11-shift-2-dec-2022-session-combined.pdf#page=54
